FEN,White,Black,Move,Knight_Promo_Score,Queen_Promo_Score,Knight_Win_Prob,Queen_Win_Prob,Classification
8/6b1/p5Pk/8/2QP3P/5pP1/2R2p1K/4q3 b - - 0 54,GNU4u,ChessatronBot,f2f1n,-9993,-9994,1.0,1.0,Equivalent
6K1/1r5P/6k1/8/8/8/8/8 w - - 3 58,Impreg,ItIsAsItIs,h7h8n,-9991,-9999,0.0,0.0,Equivalent
5K2/2r3P1/5k2/8/8/8/8/8 w - - 3 69,MateWithRook_SF17DEV,tomlesspit,g7g8n,-43,-9999,0.4624,0.0,Brilliant
8/7P/6K1/4k3/8/8/8/8 w - - 1 85,cinder-bot,SaxtonEngine,h7h8n,6,9992,0.5052,1.0,Blunder
8/8/7p/3k3P/8/8/pK6/8 b - - 1 56,Fruity23,Nikitosik-ai,a2a1n,0,0,0.5,0.5,Equivalent
3k4/R7/3KP3/7p/4br2/1P6/P5p1/8 b - - 1 51,shotachkonia1957,buldog58,g2g1n,-189,-1053,0.6596,0.9755,Style / Flex
8/P7/4k2p/1N4p1/1P6/5n2/r7/3K4 w - - 2 53,kasparik_garik,miki_train,a7a8n,-614,-513,0.1044,0.1424,Equivalent
2bq4/3P3k/6rp/pNb1p1n1/4Ppp1/8/5PPP/2RQR1K1 w - - 0 32,CPU2006,PZChessBot,d7c8n,229,241,0.6903,0.6992,Equivalent
3K4/2P3r1/3k4/8/8/8/8/8 w - - 7 105,CPU2006,ChessatronBot,c7c8n,-17,-9999,0.4851,0.0,Brilliant
8/4Qp1k/3P3p/5q2/3Bp2P/1P2P1Kb/P5p1/R7 b - - 1 39,CPU2002,bot_adario,g2g1n,785,812,0.0602,0.0551,Equivalent
8/8/8/6P1/3NK3/8/2pk4/8 b - - 1 67,MateWithRook_SF17DEV,YukariBot,c2c1n,565,671,0.1216,0.0872,Equivalent
6B1/2P2K1P/8/4bk2/1p6/1P6/8/8 w - - 1 72,MGSAFT,Wild_of_luck,c7c8n,533,891,0.8659,0.9576,Style / Flex
R7/1P2N3/2K5/8/3k4/2b5/8/8 w - - 1 96,MGSAFT,Wild_of_luck,b7b8n,435,9994,0.8209,1.0,Style / Flex
8/p6P/1p1p4/3p1k1K/3P1P2/2P3q1/PP6/8 w - - 3 54,Dlersta31,Shaginyan_A,h7h8n,-9999,-9999,0.0,0.0,Equivalent
5k2/8/8/8/8/8/6Kp/8 b - - 1 68,Matrioshka_brain,Nikitosik-ai,h2h1n,0,0,0.5,0.5,Equivalent
8/p7/8/8/7p/5K2/R5p1/5k2 b - - 3 51,ChessOKRU,Haunting_Games,g2g1n,69,9999,0.4399,0.0,Brilliant
8/3P3p/4K1k1/8/8/7p/r7/8 w - - 0 52,gmlectures,DenQ,d7d8n,-1102,-9984,0.0207,0.0,Equivalent
6R1/5P1k/7p/3B3P/2P3K1/6Pr/8/8 w - - 5 51,Continental_77,Johantex,f7f8n,10000,9993,1.0,1.0,Equivalent
8/3k1P2/3P1K2/8/8/8/8/4r3 w - - 3 66,Whynot72,Hercule_chess2024,f7f8n,-38,0,0.4668,0.5,Equivalent
6R1/8/8/8/8/3K4/5kp1/8 b - - 3 65,Whynot72,Hercule_chess2024,g2g1n,26,0,0.4773,0.5,Equivalent
8/8/8/7k/4n3/6r1/4K1p1/Q7 b - - 13 68,FireTorchV2,cinder-bot,g2g1n,-33,0,0.5288,0.5,Equivalent
8/2p1k3/2n4p/4p3/8/2P4P/1p4P1/R2Q2K1 b - - 0 40,EliteLeela,simbelmyne-bot,b2a1n,635,646,0.0977,0.0944,Equivalent
8/8/8/8/8/4K3/R4p2/4k3 b - - 7 94,duchessAI,Fruity23,f2f1n,26,9999,0.4773,0.0,Brilliant
5bnr/p3kP2/8/qrp5/1nQ1PB1p/5N2/1P4PP/1K1R3R w - - 1 23,civotnezc,KamranShirazi,f7g8n,720,725,0.9255,0.9267,Equivalent
